ring stricture sign,RID35498,RID29023
zone of ascending aorta,RID35861,RID35860
rectal lymph node,RID466,RID28863
lateral part of nucleus accumbens,RID18441,RID18439
posterior ramus of left fourth thoracic nerve,RID22903,RID22901
proximal lateral striate branch of left middle cerebral artery,RID36450,RID35918
c8-t1 anterior division of left brachial plexus,RID22674,RID22672
circular sulcus,RID6475,RID38642
s2 root of pudendal nerve,RID23776,RID23763
superior zone of left glenoid labrum,RID42707,RID42705
portion of intestinal secretion,RID1549,RID38626
proximal epiphysis of proximal phalanx of right thumb,RID39706,RID39705
minor alar cartilage of nose,RID10038,RID13301
proximal epiphysis of phalanx of thumb,RID39704,RID39703
c6 segment of esophagus,RID31557,RID31556
body of fourth ventricle,RID13811,RID34527
multilocular,RID5891,RID5863
fourth tendon of right flexor digitorum brevis,RID41579,RID41578
battery pack,RID5430,RID5429
anterior radicular branch of spinal branch of right second lumbar artery,RID38452,RID38451
radiofrequency spoiling,RID10735,RID10733
dura mater of posterior rootlet of coccygeal nerve,RID28430,RID28335
congenital dilatation of lobar intrahepatic bile duct,RID34711,RID28795
stationary multi-channel,RID10938,RID10937
anterior triangle of neck,RID41758,RID41748
possibly,RID34,RID29
articular surface of mandibular fossa of temporal bone,RID9454,RID28459
spinal cord segment of corticospinal tract,RID17727,RID17726
anterior branch of left medial femoral cutaneous nerve,RID16897,RID16895
right labium majus,RID30042,RID280
genu of right internal capsule,RID17026,RID17025
posterior wall of uterus,RID29809,RID29803
visceral abdominal fascia,RID33171,RID33030
white matter of middle part of right middle frontal gyrus,RID27648,RID27647
retinaculum,RID34825,RID13299
c7 segment of right cuneate fasciculus of spinal cord,RID17533,RID17532
iron overload,RID5203,RID5194
ulnar collateral ligament,RID40883,RID2256
white matter of left medial frontal lobe,RID17185,RID17183
inferior trunk of right brachial nerve plexus,RID22662,RID7216
visceral branch of anterior ramus of second sacral nerve,RID23779,RID23763
occipital lobe proper,RID13884,RID13874
nerve to left tenth levator costae,RID24869,RID24867
