RPID,LETTER_CODE,"SHORT_NAME","LONG_NAME",MODALITY,PLAYBOOK_TYPE,POPULATION,BODY_REGION,BODY_REGION_2,BODY_REGION_3,BODY_REGION_4,BODY_REGION_5,MODALITY_MODIFIER,MODALITY_MODIFIER_2,MODALITY_MODIFIER_3,PROCEDURE_MODIFIER,PROCEDURE_MODIFIER_2,ANATOMIC_FOCUS,ANATOMIC_FOCUS_2,LATERALITY,REASON_FOR_EXAM,REASON_FOR_EXAM_2,REASON_FOR_EXAM_3,TECHNIQUE,PHARMACEUTICAL,PHARMACEUTICAL_2,VIEW,VIEW_2,VIEW_3,VIEW_4,,RIDS
RPID2,CTABCA,"CT Abd Angio w/wo","CT Abdomen Angio w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID56|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID3,CTABU,"CT Abd wo","CT Abdomen wo  IV Contrast",CT,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID4,CTABC,"CT Abd w/wo","CT Abdomen w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID5,CTABE,"CT Abd w","CT Abdomen w IV Contrast",CT,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID6,CTCHCA,"CT Chest Angio w/wo","CT Chest Angio w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,CHEST, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID1243|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID7,CTHDCA,"CT Head Angio w/wo","CT Head Angio w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID10,CTCLECAR,"CT Leg Angio w/wo","CT Lower Extremity Angio w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , ,ANGIOGRAPHY, , , , , , ,RIGHT, , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID2638|0|0|0|0|RID10371|0|0|0|0|0|0|RID5825|0|0|0|0|RID28771|0|0|0|0|0|
RPID11,CTNKCA,"CT Neck Angio w/wo","CT Neck Angio w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,NECK, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID7488|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID12,CTPLCA,"CT Pelv Angio w/wo","CT Pelvis Angio w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID2507|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID16,CTCHU,"CT Chest wo","CT Chest wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
