"RPID1","CT ABD PELVIS LE ANGIO WO & W IVCON","CT ABDOMEN PELVIS LOWER EXTREMITY ANGIOGRAPHY WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the ABDOMEN and PELVIS and LOWER EXTREMITY WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID56|RID2507|RID2638|RID10371|RID28771|0"
"RPID2","CT ABD ANGIO WO & W IVCON","CT ABDOMEN ANGIOGRAPHY WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the ABDOMEN WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID56|RID10371|RID28771|0"
"RPID3","CT ABD WO IVCON","CT ABDOMEN WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the ABDOMEN WITHOUT IV CONTRAST","RID13060|RID10321|RID56|RID28768|0"
"RPID4","CT ABD WO & W IVCON","CT ABDOMEN WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the ABDOMEN WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID56|RID28771|0"
"RPID5","CT ABD W IVCON","CT ABDOMEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the ABDOMEN WITH IV CONTRAST","RID13060|RID10321|RID56|RID28769|0"
"RPID6","CT CHST ANGIO WO & W IVCON","CT CHEST ANGIOGRAPHY WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the CHEST WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID1243|RID10371|RID28771|0"
"RPID7","CT HEAD ANGIO WO & W IVCON","CT HEAD ANGIOGRAPHY WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the HEAD WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID9080|RID10371|RID28771|0"
"RPID8","CT CHST ANGIO HEART WO & W IVCON","CT CHEST ANGIOGRAPHY HEART WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the HEART in the CHEST WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID1243|RID10371|RID1385|RID28771|0"
"RPID9","CT LE ANGIO LT WO & W IVCON","CT LOWER EXTREMITY ANGIOGRAPHY LEFT WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the LEFT LOWER EXTREMITY WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID2638|RID10371|RID5824|RID28771|0"
"RPID10","CT LE ANGIO RT WO & W IVCON","CT LOWER EXTREMITY ANGIOGRAPHY RIGHT WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the RIGHT LOWER EXTREMITY WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID2638|RID10371|RID5825|RID28771|0"
"RPID11","CT NECK ANGIO WO & W IVCON","CT NECK ANGIOGRAPHY WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the NECK WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID7488|RID10371|RID28771|0"
"RPID12","CT PELVIS ANGIO WO & W IVCON","CT PELVIS ANGIOGRAPHY WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the PELVIS WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID2507|RID10371|RID28771|0"
"RPID13","CT UE ANGIO LT WO & W IVCON","CT UPPER EXTREMITY ANGIOGRAPHY LEFT WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the LEFT UPPER EXTREMITY WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID1850|RID10371|RID5824|RID28771|0"
"RPID14","CT UE ANGIO RT WO & W IVCON","CT UPPER EXTREMITY ANGIOGRAPHY RIGHT WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the RIGHT UPPER EXTREMITY WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID1850|RID10371|RID5825|RID28771|0"
"RPID15","CT CHST COR ARTS CALC SCORE","CT CHEST CORONARY ARTERIES CALCIUM SCORE","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the CORONARY ARTERIES in the CHEST for the purpose of CALCIUM SCORE","RID13060|RID10321|RID1243|RID28727|RID28808|0"
"RPID16","CT CHST WO IVCON","CT CHEST WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the CHEST WITHOUT IV CONTRAST","RID13060|RID10321|RID1243|RID28768|0"
"RPID17","CT CHST WO & W IVCON","CT CHEST WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the CHEST WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID1243|RID28771|0"
"RPID18","CT CHST W IVCON","CT CHEST WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the CHEST WITH IV CONTRAST","RID13060|RID10321|RID1243|RID28769|0"
"RPID19","CT C SPINE WO & W IVCON","CT CERVICAL SPINE WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the CERVICAL SPINE WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID34571|RID28771|0"
"RPID20","CT C SPINE W IVCON","CT CERVICAL SPINE WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the CERVICAL SPINE WITH IV CONTRAST","RID13060|RID10321|RID34571|RID28769|0"
"RPID21","CT C SPINE WO IVCON","CT CERVICAL SPINE WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the CERVICAL SPINE WITHOUT IV CONTRAST","RID13060|RID10321|RID34571|RID28768|0"
"RPID22","CT HEAD WO IVCON","CT HEAD WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the HEAD WITHOUT IV CONTRAST","RID13060|RID10321|RID9080|RID28768|0"
"RPID23","CT HEAD WO & W IVCON","CT HEAD WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the HEAD WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID9080|RID28771|0"
"RPID24","CT HEAD W IVCON","CT HEAD WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the HEAD WITH IV CONTRAST","RID13060|RID10321|RID9080|RID28769|0"
"RPID25","CT LE LT WO IVCON","CT LOWER EXTREMITY LEFT WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the LEFT LOWER EXTREMITY WITHOUT IV CONTRAST","RID13060|RID10321|RID2638|RID5824|RID28768|0"
"RPID26","CT LE RT WO IVCON","CT LOWER EXTREMITY RIGHT WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the RIGHT LOWER EXTREMITY WITHOUT IV CONTRAST","RID13060|RID10321|RID2638|RID5825|RID28768|0"
"RPID27","CT LE LT WO & W IVCON","CT LOWER EXTREMITY LEFT WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the LEFT LOWER EXTREMITY WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID2638|RID5824|RID28771|0"
"RPID28","CT LE RT WO & W IVCON","CT LOWER EXTREMITY RIGHT WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the RIGHT LOWER EXTREMITY WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID2638|RID5825|RID28771|0"
"RPID29","CT LE LT W IVCON","CT LOWER EXTREMITY LEFT WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the LEFT LOWER EXTREMITY WITH IV CONTRAST","RID13060|RID10321|RID2638|RID5824|RID28769|0"
"RPID30","CT LE RT W IVCON","CT LOWER EXTREMITY RIGHT WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the RIGHT LOWER EXTREMITY WITH IV CONTRAST","RID13060|RID10321|RID2638|RID5825|RID28769|0"
"RPID31","CT L SPINE WO IVCON","CT LUMBAR SPINE WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the LUMBAR SPINE WITHOUT IV CONTRAST","RID13060|RID10321|RID34573|RID28768|0"
"RPID32","CT L SPINE WO & W IVCON","CT LUMBAR SPINE WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the LUMBAR SPINE WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID34573|RID28771|0"
"RPID33","CT L SPINE W IVCON","CT LUMBAR SPINE WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the LUMBAR SPINE WITH IV CONTRAST","RID13060|RID10321|RID34573|RID28769|0"
"RPID34","CT HEAD MAX FACIAL WO IVCON","CT HEAD MAXILLOFACIAL WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the MAXILLOFACIAL in the HEAD WITHOUT IV CONTRAST","RID13060|RID10321|RID9080|RID35812|RID28768|0"
"RPID35","CT HEAD MAX FACIAL WO & W IVCON","CT HEAD MAXILLOFACIAL WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the MAXILLOFACIAL in the HEAD WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID9080|RID35812|RID28771|0"
"RPID36","CT HEAD MAX FACIAL W IVCON","CT HEAD MAXILLOFACIAL WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the MAXILLOFACIAL in the HEAD WITH IV CONTRAST","RID13060|RID10321|RID9080|RID35812|RID28769|0"
"RPID37","CT NECK WO IVCON","CT NECK WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the NECK WITHOUT IV CONTRAST","RID13060|RID10321|RID7488|RID28768|0"
"RPID38","CT NECK WO & W IVCON","CT NECK WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the NECK WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID7488|RID28771|0"
"RPID39","CT NECK W IVCON","CT NECK WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the NECK WITH IV CONTRAST","RID13060|RID10321|RID7488|RID28769|0"
"RPID40","CT HEAD ORBITS WO IVCON","CT HEAD ORBITS WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the ORBITS in the HEAD WITHOUT IV CONTRAST","RID13060|RID10321|RID9080|RID28601|RID28768|0"
"RPID41","CT HEAD TMP BON WO IVCON","CT HEAD TEMPORAL BONE WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the TEMPORAL BONE in the HEAD WITHOUT IV CONTRAST","RID13060|RID10321|RID9080|RID9361|RID28768|0"
"RPID42","CT HEAD ORBITS WO & W IVCON","CT HEAD ORBITS WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the ORBITS in the HEAD WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID9080|RID28601|RID28771|0"
"RPID43","CT HEAD TMP BON WO & W IVCON","CT HEAD TEMPORAL BONE WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the TEMPORAL BONE in the HEAD WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID9080|RID9361|RID28771|0"
"RPID44","CT HEAD ORBITS W IVCON","CT HEAD ORBITS WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the ORBITS in the HEAD WITH IV CONTRAST","RID13060|RID10321|RID9080|RID28601|RID28769|0"
"RPID45","CT HEAD TMP BON W IVCON","CT HEAD TEMPORAL BONE WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the TEMPORAL BONE in the HEAD WITH IV CONTRAST","RID13060|RID10321|RID9080|RID9361|RID28769|0"
"RPID46","CT PELVIS WO IVCON","CT PELVIS WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the PELVIS WITHOUT IV CONTRAST","RID13060|RID10321|RID2507|RID28768|0"
"RPID47","CT PELVIS WO & W IVCON","CT PELVIS WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the PELVIS WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID2507|RID28771|0"
"RPID48","CT PELVIS W IVCON","CT PELVIS WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the PELVIS WITH IV CONTRAST","RID13060|RID10321|RID2507|RID28769|0"
"RPID49","CT 3D IMAGE WO WKSTAT","CT 3D IMAGING PROCESSING WITHOUT INDEPENDENT WORKSTATION","A computed tomography  RADIOLOGY ORDERABLE 3D IMAGING PROCESSING WITHOUT INDEPENDENT WORKSTATION procedure focused on the","RID13060|RID10321|RID36017|RID36022|0"
"RPID50","CT 3D IMAGE W WKSTAT","CT 3D IMAGING PROCESSING WITH INDEPENDENT WORKSTATION","A computed tomography  RADIOLOGY ORDERABLE 3D IMAGING PROCESSING WITH INDEPENDENT WORKSTATION procedure focused on the","RID13060|RID10321|RID36017|RID36021|0"
"RPID51","CT T SPINE WO IVCON","CT THORACIC SPINE WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the THORACIC SPINE WITHOUT IV CONTRAST","RID13060|RID10321|RID28677|RID28768|0"
"RPID52","CT T SPINE WO & W IVCON","CT THORACIC SPINE WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the THORACIC SPINE WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID28677|RID28771|0"
"RPID53","CT T SPINE W IVCON","CT THORACIC SPINE WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the THORACIC SPINE WITH IV CONTRAST","RID13060|RID10321|RID28677|RID28769|0"
"RPID54","CT ABD PELVIS URO","CT ABDOMEN PELVIS UROGRAPHY","A computed tomography  RADIOLOGY ORDERABLE UROGRAPHY procedure focused on the ABDOMEN and PELVIS","RID13060|RID10321|RID56|RID2507|RID28551|0"
"RPID55","CT UE LT WO IVCON","CT UPPER EXTREMITY LEFT WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the LEFT UPPER EXTREMITY WITHOUT IV CONTRAST","RID13060|RID10321|RID1850|RID5824|RID28768|0"
"RPID56","CT UE RT WO IVCON","CT UPPER EXTREMITY RIGHT WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the RIGHT UPPER EXTREMITY WITHOUT IV CONTRAST","RID13060|RID10321|RID1850|RID5825|RID28768|0"
"RPID57","CT UE LT WO & W IVCON","CT UPPER EXTREMITY LEFT WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the LEFT UPPER EXTREMITY WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID1850|RID5824|RID28771|0"
"RPID58","CT UE RT WO & W IVCON","CT UPPER EXTREMITY RIGHT WITHOUT THEN WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the RIGHT UPPER EXTREMITY WITHOUT THEN WITH IV CONTRAST","RID13060|RID10321|RID1850|RID5825|RID28771|0"
"RPID59","CT UE LT W IVCON","CT UPPER EXTREMITY LEFT WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the LEFT UPPER EXTREMITY WITH IV CONTRAST","RID13060|RID10321|RID1850|RID5824|RID28769|0"
"RPID60","CT UE RT W IVCON","CT UPPER EXTREMITY RIGHT WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the RIGHT UPPER EXTREMITY WITH IV CONTRAST","RID13060|RID10321|RID1850|RID5825|RID28769|0"
"RPID61","CT NECK","CT NECK","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the NECK","RID13060|RID10321|RID7488|0"
"RPID62","CT HEAD SINUSES WO IVCON","CT HEAD PARANASAL SINUSES WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the PARANASAL SINUSES in the HEAD WITHOUT IV CONTRAST","RID13060|RID10321|RID9080|RID28579|RID28768|0"
"RPID63","CT HEAD SINUSES W IVCON","CT HEAD PARANASAL SINUSES WITH IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the PARANASAL SINUSES in the HEAD WITH IV CONTRAST","RID13060|RID10321|RID9080|RID28579|RID28769|0"
"RPID64","CT PELVIS CYSTGRPHY BLADDER WO IVCON","CT PELVIS CYSTOGRAPHY BLADDER WITHOUT IV CONTRAST","A computed tomography  RADIOLOGY ORDERABLE CYSTOGRAPHY procedure focused on the BLADDER in the PELVIS WITHOUT IV CONTRAST","RID13060|RID10321|RID2507|RID34878|RID237|RID28768|0"
"RPID65","CT HEAD ANGIO","CT HEAD ANGIOGRAPHY","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the HEAD","RID13060|RID10321|RID9080|RID10371|0"
"RPID66","CT NECK ANGIO","CT NECK ANGIOGRAPHY","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the NECK","RID13060|RID10321|RID7488|RID10371|0"
"RPID67","CT CHST ANGIO","CT CHEST ANGIOGRAPHY","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the CHEST","RID13060|RID10321|RID1243|RID10371|0"
"RPID68","CT PELVIS ANGIO","CT PELVIS ANGIOGRAPHY","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the PELVIS","RID13060|RID10321|RID2507|RID10371|0"
"RPID69","CT ABD PELVIS LE ANGIO","CT ABDOMEN PELVIS LOWER EXTREMITY ANGIOGRAPHY","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the ABDOMEN and PELVIS and LOWER EXTREMITY","RID13060|RID10321|RID56|RID2507|RID2638|RID10371|0"
"RPID70","CT UE ANGIO LT","CT UPPER EXTREMITY ANGIOGRAPHY LEFT","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the LEFT UPPER EXTREMITY","RID13060|RID10321|RID1850|RID10371|RID5824|0"
"RPID71","CT UE ANGIO RT","CT UPPER EXTREMITY ANGIOGRAPHY RIGHT","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the RIGHT UPPER EXTREMITY","RID13060|RID10321|RID1850|RID10371|RID5825|0"
"RPID72","CT LE ANGIO LT","CT LOWER EXTREMITY ANGIOGRAPHY LEFT","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the LEFT LOWER EXTREMITY","RID13060|RID10321|RID2638|RID10371|RID5824|0"
"RPID73","CT LE ANGIO RT","CT LOWER EXTREMITY ANGIOGRAPHY RIGHT","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the RIGHT LOWER EXTREMITY","RID13060|RID10321|RID2638|RID10371|RID5825|0"
"RPID74","CT ABD ANGIO","CT ABDOMEN ANGIOGRAPHY","A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the ABDOMEN","RID13060|RID10321|RID56|RID10371|0"
"RPID75","CT GUIDE ABLAT","CT GUIDANCE ABLATION","A computed tomography  RADIOLOGY ORDERABLE GUIDANCE procedure focused on the for the purpose of ABLATION","RID13060|RID10321|RID35732|RID10397|0"
"RPID76","CT SPINE GUIDE VPLASTY","CT SPINE GUIDANCE VERTEBROPLASTY","A computed tomography  RADIOLOGY ORDERABLE GUIDANCE procedure focused on the SPINE for the purpose of VERTEBROPLASTY","RID13060|RID10321|RID7741|RID35732|RID1839|0"
"RPID77","CT STERTXS","CT STEREOTAXIS","A computed tomography  RADIOLOGY ORDERABLE STEREOTAXIS procedure focused on the","RID13060|RID10321|RID35777|0"
